Component 0: area=246, xc=233, yc=28, xmin=201, xmax=266, ymin=15, ymax=42
Component 1: area=9, xc=124, yc=20, xmin=121, xmax=128, ymin=18, ymax=22
Component 2: area=134, xc=169, yc=30, xmin=147, xmax=192, ymin=21, ymax=40
Component 3: area=106, xc=101, yc=34, xmin=83, xmax=119, ymin=24, ymax=44
Component 4: area=35, xc=65, yc=30, xmin=49, xmax=82, ymin=29, ymax=31
Component 5: area=55, xc=57, yc=37, xmin=34, xmax=81, ymin=31, ymax=43
Component 6: area=6, xc=135, yc=33, xmin=135, xmax=136, ymin=31, ymax=35
Component 7: area=23, xc=181, yc=42, xmin=170, xmax=192, ymin=42, ymax=42
Component 8: area=2, xc=269, yc=44, xmin=269, xmax=270, ymin=44, ymax=44
Component 9: area=7, xc=213, yc=46, xmin=212, xmax=215, ymin=45, ymax=48
Component 10: area=6, xc=233, yc=46, xmin=231, xmax=235, ymin=46, ymax=47
Component 11: area=406, xc=261, yc=63, xmin=250, xmax=273, ymin=46, ymax=81
Component 12: area=14, xc=126, yc=47, xmin=120, xmax=133, ymin=47, ymax=47
Component 13: area=11, xc=201, yc=51, xmin=201, xmax=202, ymin=47, ymax=56
Component 14: area=11, xc=83, yc=49, xmin=79, xmax=87, ymin=48, ymax=50
Component 15: area=1, xc=204, yc=48, xmin=204, xmax=204, ymin=48, ymax=48
Component 16: area=2, xc=70, yc=50, xmin=70, xmax=71, ymin=50, ymax=51
Component 17: area=17, xc=107, yc=58, xmin=107, xmax=108, ymin=50, ymax=66
Component 18: area=603, xc=175, yc=63, xmin=162, xmax=189, ymin=50, ymax=77
Component 19: area=6, xc=239, yc=53, xmin=239, xmax=239, ymin=51, ymax=56
Component 20: area=11, xc=221, yc=55, xmin=218, xmax=224, ymin=52, ymax=59
Component 21: area=612, xc=86, yc=69, xmin=72, xmax=101, ymin=55, ymax=83
Component 22: area=499, xc=126, yc=68, xmin=114, xmax=139, ymin=56, ymax=81
Component 23: area=8, xc=149, yc=60, xmin=149, xmax=150, ymin=57, ymax=64
Component 24: area=1, xc=281, yc=57, xmin=281, xmax=281, ymin=57, ymax=57
Component 25: area=4, xc=236, yc=58, xmin=235, xmax=237, ymin=58, ymax=59
Component 26: area=2, xc=69, yc=59, xmin=69, xmax=69, ymin=59, ymax=60
Component 27: area=502, xc=221, yc=76, xmin=208, xmax=235, ymin=64, ymax=89
Component 28: area=98, xc=51, yc=85, xmin=43, xmax=59, ymin=65, ymax=106
Component 29: area=3, xc=201, yc=68, xmin=201, xmax=201, ymin=67, ymax=69
Component 30: area=5, xc=278, yc=69, xmin=278, xmax=279, ymin=68, ymax=71
Component 31: area=43, xc=153, yc=77, xmin=149, xmax=158, ymin=71, ymax=84
Component 32: area=7, xc=66, yc=74, xmin=66, xmax=67, ymin=72, ymax=77
Component 33: area=5, xc=199, yc=73, xmin=198, xmax=201, ymin=72, ymax=74
Component 34: area=2, xc=246, yc=74, xmin=246, xmax=247, ymin=74, ymax=74
Component 35: area=10, xc=112, yc=78, xmin=109, xmax=115, ymin=75, ymax=81
Component 36: area=8, xc=272, yc=77, xmin=271, xmax=274, ymin=75, ymax=80
Component 37: area=56, xc=139, yc=88, xmin=131, xmax=147, ymin=76, ymax=100
Component 38: area=2, xc=256, yc=80, xmin=256, xmax=257, ymin=80, ymax=80
Component 39: area=3, xc=66, yc=82, xmin=66, xmax=66, ymin=81, ymax=83
Component 40: area=776, xc=187, yc=98, xmin=172, xmax=203, ymin=83, ymax=113
Component 41: area=5, xc=143, yc=85, xmin=142, xmax=145, ymin=84, ymax=86
Component 42: area=1, xc=270, yc=84, xmin=270, xmax=270, ymin=84, ymax=84
Component 43: area=1, xc=212, yc=86, xmin=212, xmax=212, ymin=86, ymax=86
Component 44: area=383, xc=146, yc=101, xmin=132, xmax=161, ymin=89, ymax=114
Component 45: area=393, xc=271, yc=100, xmin=254, xmax=289, ymin=89, ymax=111
Component 46: area=760, xc=105, yc=103, xmin=92, xmax=119, ymin=90, ymax=117
Component 47: area=4, xc=166, yc=93, xmin=166, xmax=167, ymin=92, ymax=94
Component 48: area=6, xc=84, yc=95, xmin=84, xmax=85, ymin=93, ymax=98
Component 49: area=506, xc=241, yc=104, xmin=227, xmax=255, ymin=93, ymax=116
Component 50: area=13, xc=71, yc=98, xmin=67, xmax=75, ymin=94, ymax=102
Component 51: area=91, xc=45, yc=112, xmin=29, xmax=62, ymin=95, ymax=129
Component 52: area=10, xc=127, yc=101, xmin=126, xmax=128, ymin=97, ymax=105
Component 53: area=11, xc=220, yc=97, xmin=215, xmax=225, ymin=97, ymax=97
Component 54: area=4, xc=169, yc=102, xmin=169, xmax=169, ymin=101, ymax=104
Component 55: area=8, xc=216, yc=107, xmin=214, xmax=219, ymin=105, ymax=110
Component 56: area=3, xc=166, yc=109, xmin=166, xmax=166, ymin=108, ymax=110
Component 57: area=10, xc=283, yc=114, xmin=281, xmax=285, ymin=110, ymax=118
Component 58: area=3, xc=65, yc=111, xmin=64, xmax=66, ymin=111, ymax=111
Component 59: area=17, xc=79, yc=111, xmin=72, xmax=87, ymin=111, ymax=112
Component 60: area=1, xc=230, yc=111, xmin=230, xmax=230, ymin=111, ymax=111
Component 61: area=421, xc=247, yc=163, xmin=198, xmax=296, ymin=111, ymax=215
Component 62: area=8, xc=274, yc=118, xmin=273, xmax=276, ymin=116, ymax=121
Component 63: area=764, xc=168, yc=132, xmin=154, xmax=183, ymin=118, ymax=146
Component 64: area=12, xc=201, yc=122, xmin=199, xmax=203, ymin=118, ymax=126
